question,specification,role,guarantee_threshold,outcome,focal_variable,n,clusters,estimate,standard_error,ci_low,ci_high,p_value,r_squared
A_price,primary,all,5000000,log_guarantee,performance_spike,434,300,0.3821037190975033,0.021828899708360876,0.33931907566911595,0.42488836252589063,1.3241162623589577e-68,0.6441534811796269
B_regression,primary,all,5000000,regression_from_contract_year,performance_spike,434,300,-0.6927744342729769,0.061027216939952604,-0.8123877794752841,-0.5731610890706698,7.257425150462396e-30,0.4598760018122203
B_persistence,primary,all,5000000,future_war_per_season,performance_spike,434,300,0.30722556572675286,0.061027216939957406,0.18761222052443635,0.42683891092906934,4.797520490917203e-07,0.2808429519334642
C_alpha,primary,all,5000000,alpha_per_year_m,performance_spike,434,300,-0.9245875220466008,0.4221997509606076,-1.7520990339293916,-0.09707601016380996,0.02852937891214214,0.0740213587914017
D_overpay,primary,all,5000000,alpha_per_year_m,guarantee_premium_per_10m,376,266,-0.4196287306389832,0.2656107504058826,-0.9402258014345131,0.10096834015654665,0.11413812891095959,0.04442715312088752
A_price,minimum_1m,all,1000000,log_guarantee,performance_spike,787,486,0.5172075167172201,0.02435928868341474,0.4694633108977272,0.564951722536713,4.789348778385229e-100,0.6449549348567785
B_regression,minimum_1m,all,1000000,regression_from_contract_year,performance_spike,787,486,-0.7075907274671333,0.04856707959177181,-0.802782203467006,-0.6123992514672605,4.400651986038238e-48,0.4775135308231315
B_persistence,minimum_1m,all,1000000,future_war_per_season,performance_spike,787,486,0.29240927253285837,0.04856707959173334,0.197217796533061,0.3876007485326557,1.736321984518569e-09,0.28735969743078427
C_alpha,minimum_1m,all,1000000,alpha_per_year_m,performance_spike,787,486,-0.9961364372103806,0.31120540683476944,-1.6060990346065287,-0.3861738398142325,0.0013700051978106753,0.11605495616977801
D_overpay,minimum_1m,all,1000000,alpha_per_year_m,guarantee_premium_per_10m,670,435,-0.3275387956134492,0.284457737818236,-0.8850759617371917,0.22999837051029343,0.24954725022254587,0.07717875778891159
A_price,large_25m,all,25000000,log_guarantee,performance_spike,128,119,0.19800957047040377,0.023461123526161618,0.152025768359127,0.24399337258168052,3.1760533241957183e-17,0.6775494282066827
B_regression,large_25m,all,25000000,regression_from_contract_year,performance_spike,128,119,-0.5990753584289757,0.11676372592213269,-0.8279322612363558,-0.3702184556215957,2.887230206146009e-07,0.45086862486110313
B_persistence,large_25m,all,25000000,future_war_per_season,performance_spike,128,119,0.400924641557181,0.11676372592569534,0.17206773874281814,0.6297815443715439,0.0005955337874982146,0.35251615633897604
C_alpha,large_25m,all,25000000,alpha_per_year_m,performance_spike,128,119,-0.053963743154864297,0.7239902104964059,-1.4729845557278198,1.3650570694180912,0.9405834476620758,0.12184868148337435
D_overpay,large_25m,all,25000000,alpha_per_year_m,guarantee_premium_per_10m,114,106,-0.21631538542609444,0.28370832119937356,-0.7723836949768665,0.3397529241246777,0.4457873188178873,0.13746177764984102
A_price,exclude_2021,all,5000000,log_guarantee,performance_spike,374,275,0.413427043924143,0.0260698360735437,0.36233016521999734,0.4645239226282886,1.2290063645383093e-56,0.6555245924543038
B_regression,exclude_2021,all,5000000,regression_from_contract_year,performance_spike,374,275,-0.6377411987968747,0.06492804369105774,-0.7650001644313479,-0.5104822331624016,9.028132362181564e-23,0.4097242280869543
B_persistence,exclude_2021,all,5000000,future_war_per_season,performance_spike,374,275,0.36225880120036463,0.06492804369127397,0.23499983556546764,0.4895177668352616,2.413651591625079e-08,0.29983507950810717
C_alpha,exclude_2021,all,5000000,alpha_per_year_m,performance_spike,374,275,-0.9288856486389001,0.532978989049162,-1.9735244671752576,0.11575316989745743,0.08136532163429448,0.06859828220403674
D_overpay,exclude_2021,all,5000000,alpha_per_year_m,guarantee_premium_per_10m,316,234,-0.4280368745440794,0.27837225347010824,-0.9736464913454916,0.11757274225733277,0.12413616696360283,0.040856810021802636
A_price,hitters,hitter,5000000,log_guarantee,performance_spike,184,135,0.38212401641451765,0.03303803588346118,0.31736946608293376,0.44687856674610155,6.114171537904213e-31,0.7280733615258492
B_regression,hitters,hitter,5000000,regression_from_contract_year,performance_spike,184,135,-0.6776107403061876,0.10092100038832272,-0.8754159010673002,-0.4798055795450751,1.890113957952252e-11,0.5210455655957114
