signing_team,contracts,total_guarantee,realized_cost,realized_production_value,contract_alpha,price_prediction_contracts,total_guarantee_price_premium,alpha_roi_percent,alpha_per_contract
SDP,17,619000000.0,346404377.1043771,399830801.1124638,53426424.00808667,8,304331230.34199774,15.423137679345327,3142730.824005098
TBR,8,123750000.0,104999999.0,101277041.13607672,-3722957.8639232814,7,25901712.145060852,-3.5456741898857365,-465369.7329904102
ATH,2,77000000.0,32333333.33333333,17313758.20378463,-15019575.129548699,2,58610458.118808664,-46.45229421509907,-7509787.564774349
PIT,10,63475000.0,63475000.0,42211294.81593411,-21263705.184065893,10,-6239412.054521473,-33.499338612155796,-2126370.5184065895
STL,12,279000000.0,211831567.3333333,177634588.9298987,-34196978.403434634,9,147323819.1926216,-16.14347608051403,-2849748.2002862194
BAL,13,168750000.0,119361111.1111111,64034117.72230618,-55326993.38880493,11,34025074.57702536,-46.35261256683681,-4255922.56836961
OAK,6,58000000.0,55638888.88888889,-4167743.755621541,-59806632.64451043,5,18095241.56257253,-107.4907027060597,-9967772.107418405
KCR,12,206200000.0,180100000.0,117867458.35059239,-62232541.64940762,12,20098436.080720276,-34.554437340037545,-5186045.1374506345
CLE,8,103250000.0,87869916.8148148,23377529.339181457,-64492387.47563335,7,15969133.751606569,-73.39529820148866,-8061548.434454169
MIL,12,171125000.0,156774691.35802472,54194697.873894915,-102579993.48412979,7,-15079946.61859822,-65.43147532012608,-8548332.790344149
SEA,7,187250000.0,159000000.0,45276028.28135561,-113723971.7186444,6,73158668.36868487,-71.52451051487068,-16246281.674092056
CHC,21,683000000.0,472523809.52380955,357869385.47947747,-114654424.04433209,19,365298943.90124387,-24.26426388119494,-5459734.478301528
ATL,17,356450000.0,281712345.67901236,164025129.19236067,-117687216.48665169,10,89592000.71322726,-41.77566879541247,-6922777.440391276
MIA,8,140000000.0,127490740.74074073,1930882.724884633,-125559858.0158561,7,38534937.53376863,-98.48547218906572,-15694982.251982013
CIN,11,266050000.0,223227777.77777776,96925602.07163091,-126302175.70614685,8,27380532.551385738,-56.579954772420884,-11482015.973286077
DET,15,332796154.0,265794159.85185182,137881787.0855807,-127912372.76627113,13,167342321.086788,-48.124598688536594,-8527491.517751409
COL,4,199750000.0,121750000.0,-10898744.855525494,-132648744.8555255,4,169969214.13723812,-108.95174115443572,-33162186.213881373
MIN,15,452150000.0,318905555.5555556,182041737.3129281,-136863818.24262744,11,92173307.07790422,-42.91672435878428,-9124254.549508495
TOR,20,746550000.0,555716292.8518518,391068771.6694795,-164647521.18237233,18,328731940.685004,-29.627981633834448,-8232376.059118616
LAD,31,1952905766.0,740990569.037037,534504602.0566767,-206485966.9803604,27,390965385.3535556,-27.866207156820042,-6660837.644527755
HOU,13,434500000.0,335296296.2962963,120046169.43517552,-215250126.8611208,11,213918952.05905005,-64.19698912239326,-16557702.066240061
PHI,19,1084000003.0,681286965.7441077,463538119.38590914,-217748846.35819858,17,430794576.3196824,-31.961399132357002,-11460465.597799925
BOS,21,522250000.0,419667715.7407407,200514646.27805203,-219153069.46268868,19,107117417.19311675,-52.220616750533054,-10435860.450604223
ARI,13,538000000.0,289800581.2592593,69029564.83169575,-220771016.42756352,10,243591340.8072193,-76.18032216093417,-16982385.879043348
CHW,16,388000000.0,320379629.6296296,95440122.16700882,-224939507.4626208,10,152306812.1493593,-70.21030260964437,-14058719.2164138
WSN,17,405453703.0,319052952.3518518,77956554.95825401,-241096397.39359784,11,-40741323.996098176,-75.56626435091457,-14182141.023152813
TEX,22,1092300000.0,685040079.1234567,432842228.19398296,-252197850.92947382,16,764854499.8264167,-36.815050478823615,-11463538.678612446
NYY,16,1315300000.0,647362962.962963,393241940.10820556,-254121022.85475743,14,668397178.7533281,-39.2547979099163,-15882563.92842234
SFG,28,908650000.0,615739815.4074074,344457846.41304916,-271281968.99435824,23,461898559.3044662,-44.05788974599006,-9688641.749798508
LAA,19,594650000.0,450633333.3333333,119695881.33988596,-330937451.99344736,16,199960158.44071993,-73.4382983933976,-17417760.631234072
NYM,32,1960716666.0,974037406.111111,480506546.2782873,-493530859.8328238,28,1320671362.634596,-50.66857358212436,-15422839.369775744
