question,specification,role,guarantee_threshold,outcome,focal_variable,n,clusters,estimate,standard_error,ci_low,ci_high,p_value,r_squared
A_price,primary,all,5000000,log_guarantee,performance_spike,434,300,0.38127305996781696,0.021409911722380836,0.33930963299195055,0.4232364869436834,6.098702276331165e-71,0.6471969494269403
B_regression,primary,all,5000000,regression_from_contract_year,performance_spike,434,300,-0.690782872654775,0.06129280090826703,-0.8109167624349783,-0.5706489828745717,1.8412560793058097e-29,0.45928581817196146
B_persistence,primary,all,5000000,future_war_per_season,performance_spike,434,300,0.3092171273473243,0.061292800908185896,0.18908323756727996,0.4293510171273687,4.537169610997834e-07,0.28005714214539745
C_alpha,primary,all,5000000,alpha_per_year_m,performance_spike,434,300,-0.9011681405553197,0.4241115869244858,-1.732426850927312,-0.06990943018332751,0.03360018706124525,0.0683696335015388
D_residual,primary,all,5000000,alpha_per_year_m,guarantee_baseline_residual_per_10m,376,266,-0.4165832273772234,0.2769727111268945,-0.9594497411859366,0.12628328643148978,0.13256624238820858,0.04025327689324454
A_price,minimum_1m,all,1000000,log_guarantee,performance_spike,787,486,0.5178833322164786,0.024309235423167784,0.4702372307870698,0.5655294336458875,1.0428607517235781e-100,0.6462067623473778
B_regression,minimum_1m,all,1000000,regression_from_contract_year,performance_spike,787,486,-0.7051528176738314,0.04893248102768563,-0.8010604804880953,-0.6092451548595675,4.429971933768778e-47,0.4764936279570682
B_persistence,minimum_1m,all,1000000,future_war_per_season,performance_spike,787,486,0.2948471823262132,0.04893248102772634,0.19893951951186958,0.3907548451405568,1.6849139702562205e-09,0.28596861090521797
C_alpha,minimum_1m,all,1000000,alpha_per_year_m,performance_spike,787,486,-0.9829231801064001,0.312246031039377,-1.5949254009435792,-0.3709209592692212,0.0016444091594152556,0.11031259863273801
D_residual,minimum_1m,all,1000000,alpha_per_year_m,guarantee_baseline_residual_per_10m,670,435,-0.3260314372297398,0.2965481925613766,-0.9072658946500379,0.2552030201905583,0.2715842886099832,0.07330883523864706
A_price,large_25m,all,25000000,log_guarantee,performance_spike,128,119,0.1966047504498369,0.02366070560125744,0.15022976747137234,0.24297973342830148,9.623914370002174e-17,0.6793760271537342
B_regression,large_25m,all,25000000,regression_from_contract_year,performance_spike,128,119,-0.6014572653678519,0.11690196949166355,-0.8305851255715124,-0.3723294051641914,2.6756186622339185e-07,0.4512659166874744
B_persistence,large_25m,all,25000000,future_war_per_season,performance_spike,128,119,0.3985427346241809,0.11690196949401312,0.16941487441591518,0.6276705948324466,0.0006515259082457138,0.35298460533031073
C_alpha,large_25m,all,25000000,alpha_per_year_m,performance_spike,128,119,-0.029787985695237107,0.7333993697082001,-1.4672507503233092,1.4076747789328352,0.9676017710145429,0.12027507642116075
D_residual,large_25m,all,25000000,alpha_per_year_m,guarantee_baseline_residual_per_10m,114,106,-0.24207523323707997,0.2994690072116711,-0.8290344873719553,0.3448840208977953,0.41889016199911816,0.135922778212892
A_price,exclude_2021,all,5000000,log_guarantee,performance_spike,374,275,0.4123271279846303,0.0256134046695768,0.36212485483225976,0.4625294011370008,2.630627577230334e-58,0.6584850712869625
B_regression,exclude_2021,all,5000000,regression_from_contract_year,performance_spike,374,275,-0.6354960600588655,0.06512357794302186,-0.7631382728271883,-0.5078538472905427,1.699638571986026e-22,0.40889743513570176
B_persistence,exclude_2021,all,5000000,future_war_per_season,performance_spike,374,275,0.3645039399370991,0.06512357794340709,0.23686172716802123,0.492146152706177,2.1795229448201738e-08,0.29885436600346726
C_alpha,exclude_2021,all,5000000,alpha_per_year_m,performance_spike,374,275,-0.8934006306108013,0.5355155766326459,-1.9430111608107874,0.15620989958918474,0.09525619012079449,0.06322144331806889
D_residual,exclude_2021,all,5000000,alpha_per_year_m,guarantee_baseline_residual_per_10m,316,234,-0.4223652483289642,0.28724012936921256,-0.9853559018926208,0.1406254052346924,0.14144651393106406,0.037590620620620685
A_price,hitters,hitter,5000000,log_guarantee,performance_spike,184,135,0.3811115800695508,0.03296068879641392,0.31650863002857954,0.4457145301105221,6.374167989238465e-31,0.7301016814228583
B_regression,hitters,hitter,5000000,regression_from_contract_year,performance_spike,184,135,-0.6747620038838368,0.10073490104341523,-0.8722024099289306,-0.47732159783874295,2.107232457071778e-11,0.5199406767099897
B_persistence,hitters,hitter,5000000,future_war_per_season,performance_spike,184,135,0.32523799611467324,0.10073490104371792,0.12779759006898614,0.5226784021603603,0.0012437489964412206,0.4162988623744259
C_alpha,hitters,hitter,5000000,alpha_per_year_m,performance_spike,184,135,-0.5486264536288864,0.7319614331385239,-1.9832708625803934,0.8860179553226205,0.4535383171605864,0.07676692032483612
D_residual,hitters,hitter,5000000,alpha_per_year_m,guarantee_baseline_residual_per_10m,157,120,-0.09553829906245843,0.30441627322512627,-0.6921941945837059,0.501117596458789,0.7536418242711347,0.03713230774844245
A_price,pitchers,pitcher,5000000,log_guarantee,performance_spike,250,165,0.3694201027403832,0.028121151332116207,0.3143026461294355,0.424537559351331,2.0279052239034604e-39,0.5749577916486268
B_regression,pitchers,pitcher,5000000,regression_from_contract_year,performance_spike,250,165,-0.713751678619899,0.07468709694329735,-0.8601383886287618,-0.5673649686110361,1.2173655591371604e-21,0.4296090814985116
B_persistence,pitchers,pitcher,5000000,future_war_per_season,performance_spike,250,165,0.28624832138060596,0.07468709694341323,0.13986161137151604,0.4326350313896959,0.00012677840329470644,0.18225304676185006
C_alpha,pitchers,pitcher,5000000,alpha_per_year_m,performance_spike,250,165,-1.2218368564791977,0.4567945995128651,-2.1171542715244134,-0.32651944143398215,0.007477254318450758,0.13815190902935603
D_residual,pitchers,pitcher,5000000,alpha_per_year_m,guarantee_baseline_residual_per_10m,219,146,-1.4030703505510957,0.3688777117076779,-2.1260706654981445,-0.680070035604047,0.00014259732296679464,0.17317160381654506
