signing_team,contracts,total_guarantee,realized_cost,price_prediction_contracts,total_guarantee_baseline_residual,realized_production_value_low,contract_alpha_low,realized_production_value_base,contract_alpha_base,realized_production_value_high,contract_alpha_high,alpha_roi_percent_low,alpha_per_contract_low,alpha_roi_percent_base,alpha_per_contract_base,alpha_roi_percent_high,alpha_per_contract_high,realized_production_value,contract_alpha,alpha_roi_percent,alpha_per_contract
SDP,17,619000000.0,346404377.1043771,8,306789616.27221054,302111969.5074934,-44292407.59688373,402815959.3433245,56411582.23894741,503519949.17915565,157115572.07477856,-12.786330232639562,-2605435.7409931608,16.284893023147255,3318328.366996906,45.356116278934074,9242092.474986974,402815959.3433245,56411582.23894741,16.284893023147255,3318328.366996906
TBR,8,123750000.0,104999999.0,7,27301630.071740057,75239876.78626165,-29760122.213738345,100319835.71501553,-4680163.28498446,125399794.64376943,20399795.643769424,-28.34297380682675,-3720015.276717293,-4.457298409102328,-585020.4106230575,19.42837698862209,2549974.455471178,100319835.71501553,-4680163.28498446,-4.457298409102328,-585020.4106230575
ATH,2,77000000.0,32333333.33333333,2,59580348.123288415,13769914.963639038,-18563418.369694293,18359886.618185382,-13973446.715147946,22949858.27273173,-9383475.0606016,-57.41263413307514,-9281709.184847146,-43.21684551076685,-6986723.357573973,-29.02105688845856,-4691737.5303008,18359886.618185382,-13973446.715147946,-43.21684551076685,-6986723.357573973
PIT,10,63475000.0,63475000.0,10,-5062931.570541863,31027069.96096483,-32447930.03903517,41369426.61461977,-22105573.385380227,51711783.26827472,-11763216.731725285,-51.119228104033354,-3244793.003903517,-34.82563747204447,-2210557.3385380227,-18.53204684005559,-1176321.6731725284,41369426.61461977,-22105573.385380227,-34.82563747204447,-2210557.3385380227
STL,12,279000000.0,211831567.3333333,9,150641574.14380744,134614014.59477898,-77217552.73855434,179485352.79303864,-32346214.540294692,224356690.99129832,12525123.657964973,-36.452335084244815,-6434796.061546195,-15.269780112326425,-2695517.878357891,5.9127748595919725,1043760.3048304144,179485352.79303864,-32346214.540294692,-15.269780112326425,-2695517.878357891
BAL,13,168750000.0,119361111.1111111,11,36463071.20741421,48464248.8648499,-70896862.24626121,64618998.48646653,-54742112.62464458,80773748.10808316,-38587363.003027946,-59.39695231243667,-5453604.788173939,-45.86260308324889,-4210931.740357275,-32.32825385406112,-2968258.692540611,64618998.48646653,-54742112.62464458,-45.86260308324889,-4210931.740357275
OAK,6,58000000.0,55638888.88888889,5,18740464.185720585,-3112355.7350794943,-58751244.62396838,-4149807.6467726594,-59788696.53566155,-5187259.5584658235,-60826148.44735471,-105.59384954881986,-9791874.103994729,-107.45846606509315,-9964782.75594359,-109.32308258136642,-10137691.407892453,-4149807.6467726594,-59788696.53566155,-107.45846606509315,-9964782.75594359
KCR,12,206200000.0,180100000.0,12,34616142.63832933,89553623.86564688,-90546376.13435313,119404831.82086252,-60695168.17913748,149256039.77607813,-30843960.223921858,-50.275611401639715,-7545531.344529428,-33.70081520218628,-5057930.68159479,-17.126019002732846,-2570330.0186601547,119404831.82086252,-60695168.17913748,-33.70081520218628,-5057930.68159479
CLE,8,103250000.0,87869916.8148148,7,18488968.842718184,17617025.16114139,-70252891.65367343,23489366.881521855,-64380549.93329296,29361708.601902317,-58508208.2129125,-79.95101645735124,-8781611.456709178,-73.26802194313497,-8047568.74166162,-66.58502742891872,-7313526.0266140625,23489366.881521855,-64380549.93329296,-73.26802194313497,-8047568.74166162
MIL,12,171125000.0,156774691.35802472,7,-9997985.184228294,41034029.2908009,-115740662.0672238,54712039.054401204,-102062652.3036235,68390048.81800151,-88384642.54002321,-73.82611380998229,-9645055.17226865,-65.1014850799764,-8505221.025301958,-56.3768563499705,-7365386.878335267,54712039.054401204,-102062652.3036235,-65.1014850799764,-8505221.025301958
